symbol,exchange,affidabilita
BRBY.LSE,LSE,confermato
BRKR.NAS,NAS,confermato
BRO.NYSE,NYSE,confermato
BRSL.NYSE,NYSE,confermato
BRX.NYSE,NYSE,confermato
BSAC.NYSE,NYSE,confermato
BSRR.NAS,NAS,confermato
BSX.NYSE,NYSE,confermato
BSY.NAS,NAS,confermato
BTA.LSE,LSE,confermato
BUD.NYSE,NYSE,confermato
BURL.NYSE,NYSE,confermato
BVI.PAR,PAR,confermato
BW.NYSE,NYSE,confermato
BWA.NYSE,NYSE,confermato
BX.NYSE,NYSE,confermato
BXMT.NYSE,NYSE,confermato
BXP.NYSE,NYSE,confermato
BYD.NYSE,NYSE,confermato
BYND.NAS,NAS,confermato
BZFD.NAS,NAS,confermato
BZUN.NAS,NAS,confermato
C.NYSE,NYSE,confermato
CA.PAR,PAR,confermato
CABK.MAD,MAD,confermato
CACC.NAS,NAS,confermato
CAG.NYSE,NYSE,confermato
CAH.NYSE,NYSE,confermato
CAKE.NAS,NAS,confermato
CAL.NYSE,NYSE,confermato
CALX.NYSE,NYSE,confermato
CAMP.NAS,NAS,confermato
CAN.NAS,NAS,confermato
CAP.PAR,PAR,confermato
CAR.NAS,NAS,confermato
CARR.NYSE,NYSE,confermato
CARS.NYSE,NYSE,confermato
CASS.NAS,NAS,confermato
CASY.NAS,NAS,confermato
CAT.NYSE,NYSE,confermato
CATO.NYSE,NYSE,confermato
CATY.NAS,NAS,confermato
CB.NYSE,NYSE,confermato
CBAN.NYSE,NYSE,confermato
CBK.ETR,ETR,confermato
CBRE.NYSE,NYSE,confermato
CBRL.NAS,NAS,confermato
CBU.NYSE,NYSE,confermato
CC.NYSE,NYSE,confermato
CCH.LSE,LSE,confermato
CCJ.NYSE,NYSE,confermato
CCK.NYSE,NYSE,confermato
CCL.NYSE,NYSE,confermato
CCU.NYSE,NYSE,confermato
CDE.NYSE,NYSE,confermato
CDI.PAR,PAR,confermato
CDLX.NAS,NAS,confermato
CDNS.NAS,NAS,confermato
CDP.NYSE,NYSE,confermato
CDW.NAS,NAS,confermato
CDXS.NAS,NAS,confermato
CE.NYSE,NYSE,confermato
CECO.NAS,NAS,confermato
CELC.NAS,NAS,confermato
CELH.NAS,NAS,confermato
CELU.NAS,NAS,confermato
CENN.NAS,NAS,confermato
CERS.NAS,NAS,confermato
CEVA.NAS,NAS,confermato
CF.NYSE,NYSE,confermato
CFG.NYSE,NYSE,confermato
CGC.NYSE,NYSE,confermato
CGNX.NAS,NAS,confermato
CHD.NYSE,NYSE,confermato
CHDN.NAS,NAS,confermato
CHE.NYSE,NYSE,confermato
CHEF.NAS,NAS,confermato
CHGG.NYSE,NYSE,confermato
CHI.NAS,NAS,confermato
CHKP.NAS,NAS,confermato
CHRN.NAS,NAS,confermato
CHRS.NAS,NAS,confermato
CHRW.NAS,NAS,confermato
CHTR.NAS,NAS,confermato
CHWY.NYSE,NYSE,confermato
CIBR.NAS,NAS,confermato
CIE.MAD,MAD,confermato
CIEN.NYSE,NYSE,confermato
CIG.NYSE,NYSE,confermato
CIM.NYSE,NYSE,confermato
CINF.NAS,NAS,confermato
CL.NYSE,NYSE,confermato
CLBT.NAS,NAS,confermato
CLDT.NYSE,NYSE,confermato
CLDX.NAS,NAS,confermato
CLF.NYSE,NYSE,confermato
CLNE.NAS,NAS,confermato
CLNX.MAD,MAD,confermato
CLRB.NAS,NAS,confermato
CLS.NYSE,NYSE,confermato
CLSK.NAS,NAS,confermato
CLX.NYSE,NYSE,confermato
CMC.NYSE,NYSE,confermato
CMCSA.NAS,NAS,confermato
CME.NAS,NAS,confermato
CMG.NYSE,NYSE,confermato
CMI.NYSE,NYSE,confermato
CMRE.NYSE,NYSE,confermato
CMS.NYSE,NYSE,confermato
CNA.LSE,LSE,confermato
CNC.NYSE,NYSE,confermato
CNDT.NAS,NAS,confermato
CNHI.NYSE,NYSE,confermato
CNK.NYSE,NYSE,confermato
CNMD.NYSE,NYSE,confermato
CNO.NYSE,NYSE,confermato
CNP.NYSE,NYSE,confermato
CNX.NYSE,NYSE,confermato
CO.PAR,PAR,confermato
COF.NYSE,NYSE,confermato
COIN.NAS,NAS,confermato
COK.ETR,ETR,confermato
COL.MAD,MAD,confermato
COLD.NYSE,NYSE,confermato
CON.ETR,ETR,confermato
COO.NAS,NAS,confermato
COP.ETR,ETR,confermato
COP.NYSE,NYSE,confermato
COR.NYSE,NYSE,confermato
COST.NAS,NAS,confermato
COTY.NYSE,NYSE,confermato
COUR.NYSE,NYSE,confermato
CPA.NYSE,NYSE,confermato
CPAC.NYSE,NYSE,confermato
CPB.NAS,NAS,confermato
CPG.LSE,LSE,confermato
CPI.LSE,LSE,confermato
CPRI.NYSE,NYSE,confermato
CPRT.NAS,NAS,confermato
CPRX.NAS,NAS,confermato
CPT.NYSE,NYSE,confermato
CRBP.NAS,NAS,confermato
CRH.LSE,LSE,confermato
CRI.NYSE,NYSE,confermato
CRK.NYSE,NYSE,confermato
CRL.NYSE,NYSE,confermato
CRM.NYSE,NYSE,confermato
CRNT.NAS,NAS,confermato
CRON.NAS,NAS,confermato
CROX.NAS,NAS,confermato
CRSP.NAS,NAS,confermato
CRSR.NAS,NAS,confermato
CRUS.NAS,NAS,confermato
CRWD.NAS,NAS,confermato
CS.PAR,PAR,confermato
CSCO.NAS,NAS,confermato
CSGP.NAS,NAS,confermato
CSIQ.NAS,NAS,confermato
CSR.NYSE,NYSE,confermato
CSTL.NAS,NAS,confermato
CSX.NAS,NAS,confermato
CTAS.NAS,NAS,confermato
CTKB.NAS,NAS,confermato
CTRM.NAS,NAS,confermato
CTSH.NAS,NAS,confermato
CTVA.NYSE,NYSE,confermato
CUBE.NYSE,NYSE,confermato
CUK.NYSE,NYSE,confermato
CURB.NYSE,NYSE,confermato
CUZ.NYSE,NYSE,confermato
CVCO.NAS,NAS,confermato
CVE.NYSE,NYSE,confermato
CVI.NYSE,NYSE,confermato
CVNA.NYSE,NYSE,confermato
CVS.NYSE,NYSE,confermato
CVSA.NYSE,NYSE,confermato
CVX.NYSE,NYSE,confermato
CW.NYSE,NYSE,confermato
CWCO.NAS,NAS,confermato
CWEN.NYSE,NYSE,confermato
CWST.NAS,NAS,confermato
CWT.NYSE,NYSE,confermato
CX.NYSE,NYSE,confermato
CYH.NYSE,NYSE,confermato
CYTK.NAS,NAS,confermato
CZR.NAS,NAS,confermato
D.NYSE,NYSE,confermato
DAL.NYSE,NYSE,confermato
DAN.NYSE,NYSE,confermato
DAR.NYSE,NYSE,confermato
DASH.NAS,NAS,confermato
DAVE.NAS,NAS,confermato
DB.NYSE,NYSE,confermato
DB1.ETR,ETR,confermato
DBI.NYSE,NYSE,confermato
DBK.ETR,ETR,confermato
DBP.NYSE,NYSE,confermato
DBRG.NYSE,NYSE,confermato
DBX.NAS,NAS,confermato
DCC.LSE,LSE,confermato
DCH.NYSE,NYSE,confermato
DCI.NYSE,NYSE,confermato
DDD.NYSE,NYSE,confermato
DDOG.NAS,NAS,confermato
DDS.NYSE,NYSE,confermato
DE.NYSE,NYSE,confermato
DECK.NYSE,NYSE,confermato
DEI.NYSE,NYSE,confermato
DELL.NYSE,NYSE,confermato
DEO.NYSE,NYSE,confermato
DEZ.ETR,ETR,confermato
DG.NYSE,NYSE,confermato
DG.PAR,PAR,confermato
DGE.LSE,LSE,confermato
DGX.NYSE,NYSE,confermato
DHI.NYSE,NYSE,confermato
DHR.NYSE,NYSE,confermato
DHT.NYSE,NYSE,confermato
DIN.NYSE,NYSE,confermato
DIS.NYSE,NYSE,confermato
DK.NYSE,NYSE,confermato
DKNG.NAS,NAS,confermato
DKS.NYSE,NYSE,confermato
DLR.NYSE,NYSE,confermato
DLTR.NAS,NAS,confermato
DNOW.NYSE,NYSE,confermato
DOC.NYSE,NYSE,confermato
DOCU.NAS,NAS,confermato
DOMO.NAS,NAS,confermato
DOV.NYSE,NYSE,confermato
DOW.NYSE,NYSE,confermato
DOX.NAS,NAS,confermato
DOYU.NAS,NAS,confermato
DPZ.NYSE,NYSE,confermato
DRH.NAS,NAS,confermato
DRI.ETR,ETR,confermato
DRI.NYSE,NYSE,confermato
DRW8.ETR,ETR,confermato
DSY.PAR,PAR,confermato
DT.NYSE,NYSE,confermato
DTE.ETR,ETR,confermato
DTE.NYSE,NYSE,confermato
DTIL.NAS,NAS,confermato
DUK.NYSE,NYSE,confermato
DVA.NYSE,NYSE,confermato
DVN.NYSE,NYSE,confermato
DVY.NAS,NAS,confermato
DWNI.ETR,ETR,confermato
DX.NYSE,NYSE,confermato
DXC.NYSE,NYSE,confermato
DXCM.NAS,NAS,confermato
EA.NAS,NAS,confermato
EAT.NYSE,NYSE,confermato
EBAY.NAS,NAS,confermato
EBS.NYSE,NYSE,confermato
EC.NYSE,NYSE,confermato
ECL.NYSE,NYSE,confermato
ECMPA.AMS,AMS,confermato
ED.NYSE,NYSE,confermato
EDEN.PAR,PAR,confermato
EDIT.NAS,NAS,confermato
EDU.NYSE,NYSE,confermato
EEFT.NAS,NAS,confermato
EFX.NYSE,NYSE,confermato
EG.NYSE,NYSE,confermato
EGAN.NAS,NAS,confermato
EGHT.NAS,NAS,confermato
EGO.NYSE,NYSE,confermato
EGP.NYSE,NYSE,confermato
EH.NAS,NAS,confermato
EHC.NYSE,NYSE,confermato
EHTH.NAS,NAS,confermato
EIX.NYSE,NYSE,confermato
EL.NYSE,NYSE,confermato
EL.PAR,PAR,confermato
ELAN.NYSE,NYSE,confermato
ELE.MAD,MAD,confermato
ELF.NYSE,NYSE,confermato
ELS.NYSE,NYSE,confermato
ELV.NYSE,NYSE,confermato
EMB.NAS,NAS,confermato
EME.NYSE,NYSE,confermato
EMG.LSE,LSE,confermato
EMN.NYSE,NYSE,confermato
EMR.NYSE,NYSE,confermato
EN.PAR,PAR,confermato
ENG.MAD,MAD,confermato
ENGI.PAR,PAR,confermato
ENPH.NAS,NAS,confermato
ENR.NYSE,NYSE,confermato
ENS.NYSE,NYSE,confermato
ENTG.NAS,NAS,confermato
EOAN.ETR,ETR,confermato
EOG.NYSE,NYSE,confermato
EOLS.NAS,NAS,confermato
EPAM.NYSE,NYSE,confermato
EPC.NYSE,NYSE,confermato
EPD.NYSE,NYSE,confermato
EPR.NYSE,NYSE,confermato
EPRT.NYSE,NYSE,confermato
EQH.NYSE,NYSE,confermato
EQIX.NAS,NAS,confermato
EQNR.NYSE,NYSE,confermato
EQR.NYSE,NYSE,confermato
EQT.NYSE,NYSE,confermato
ERIC.NAS,NAS,confermato
ERIE.NAS,NAS,confermato
ES.NYSE,NYSE,confermato
ESNT.NYSE,NYSE,confermato
ESRT.NYSE,NYSE,confermato
ESS.NYSE,NYSE,confermato
ESTC.NYSE,NYSE,confermato
ET.NYSE,NYSE,confermato
ETN.NYSE,NYSE,confermato
ETR.NYSE,NYSE,confermato
ETSY.NYSE,NYSE,confermato
